,ATSC1e,SHED_DA,TPSA(NO),nHet,P_VSA_s_6,DELS,ATSC3e,SHED_DD,F04{C-N},ATS3m,TPSA(Tot),Me,P_VSA_ppp_D,AAC,ATS4m,P_VSA_p_2,P_VSA_ppp_ter,ATSC2e,MAXDN,nHAcc,H-050,P_VSA_m_3,P_VSA_i_4,T(N..O),CATS2D_00_DD,AMW,piPC02,CATS2D_00_AA,H%,GGI2,P_VSA_v_2,MPC05,nHDon,P_VSA_charge_3,ATS5m,PW5,ATS2m,ATSC4e,T(N..N),P_VSA_LogP_7,P_VSA_s_5,F01{C-N},ATSC7e,Mi,CATS2D_02_DA,piID,P_VSA_s_4,Hy,B03{C-N},mindssC,P_VSA_charge_8,P_VSA_ppp_A,F03{C-N},ATS1m,F06{C-N},piPC05,piPC06,ATS6m,MDDD,LOGP99,SssssC,ATSC6e,Pol,GGI6,F02{N-O},SCBO,SpMax3_Bh(e),T(O..O),MLOGP,GATS1v,IDET,MPC02,P_VSA_e_5,CATS2D_06_DA,NsCH3,LOGPcons,piPC03,SpMax8_Bh(m),GATS2e,P_VSA_LogP_1,Uindex,SpMax3_Bh(m),P_VSA_v_3,SpMax5_Bh(e),X%,S3K,piPC04,MDEO-11,CIC2,MW,F01{C-F},P_VSA_LogP_8,minsF,MPC04,Xindex,B02{F-F},P_VSA_e_3,SssCH2,minssCH2,Mp
C1=CC=C2C(=C1)N=C(S2)N,0.0218042475000002,1.0,38.91,3,49.6827170201958,5.24925925925926,0.0572763900000005,0.0,3,2.87179149051361,67.15,1.00295,32.8971874720655,1.67742128382936,2.36746374815448,49.6827170201958,32.8971874720655,0.0547081650000001,1.02666666666667,2,2,0.0,49.6827170201958,0,1,9.38875,3.50405476710186,1,37.5,0.888888888888889,49.6827170201958,3.29583686600433,2,16.7855295481303,1.47328663146866,0.0953136003125665,3.22335398134132,0.0390966950000004,2,78.362095718855,0.0,3,0.0149572900000001,1.1091875,1,7.16520061436836,37.9049898937205,0.743173872299967,1,0.0,0.0,16.7855295481303,4,2.79561563735043,0,5.21085134076676,5.30942729708277,0.445260361309904,2.84,1.87850007414818,0.0,0.0348860750000002,11,0.0,0,16.0,2.88447074213977,0,1.69998832797287,0.63538245758851,94.9127597863601,2.77258872223978,0.0,0,0,1.76246280070702,4.1411486284199,0.814966128841202,0.413613116086117,0.0,13.3014758129076,2.87458053822279,72.5733517289222,2.00723090276246,0.0,0.972807948500916,4.79423975696855,0.0,0.75,150.22,0,0.0,0.0,3.25809653802148,0.65074558265322,0,49.6827170201958,0.0,0.0,0.76136875
C(C(=O)O)N(CC(=O)O)CC(=O)O,0.303118811404959,2.58640928985893,115.14,7,203.484810580017,32.5638888888889,0.80782651983471,1.0,0,2.95834905237784,115.14,1.07272727272727,128.050029482764,1.75266457219936,3.06419520271298,206.609124474012,203.484810580017,0.54609917677686,2.92824074074074,7,3,203.484810580017,3.12431389399505,18,3,8.68909090909091,3.09104245335832,7,40.9090909090909,0.666666666666667,206.609124474012,2.56494935746154,3,75.4347810972533,3.00468767794876,0.0683760683760684,3.099358003591,0.695138386115703,0,70.6266119795419,0.0,3,0.399966154710744,1.15525,3,4.87519732320115,3.12431389399505,1.68761241190149,0,-1.26157407407407,0.0,206.609124474012,0,2.79321295187928,0,2.94443897916644,3.3322045101752,3.13054965519008,7.81065088757397,-1.45779991149902,0.0,1.04052259140496,12,0.0,0,15.0,3.41388725899474,78,-1.16923460837228,1.08823020988756,200.976455168384,2.77258872223978,203.484810580017,9,0,-1.09947817329043,2.77258872223978,1.75070086276251,0.565763805093262,0.0,41.990154425526,3.35315577325454,9.04673644466416,2.41361673905611,0.0,7.23811075423979,3.09104245335832,3.11432734903879,1.78564602341565,191.16,0,0.0,0.0,2.77258872223978,1.12867123771394,0,3.12431389399505,-1.79583333333333,-0.598611111111111,0.580831818181818
C1=CC(=CC=C1C(=O)O)Cl,0.0910002852000002,1.0,37.3,3,106.976914255121,14.2281481481481,0.2150241984,0.0,0,2.93279032148813,37.3,1.04194,42.6833431609212,1.68948226701918,2.47755247736394,67.828270193339,106.976914255121,0.1759890924,2.60030864197531,2,1,67.828270193339,0.0,0,1,10.438,3.23867845216438,2,33.3333333333333,1.33333333333333,67.828270193339,2.83321334405622,1,25.1449270324178,1.98248220927058,0.0722171018945213,3.00069279181433,0.271740474,0,47.0844079863613,0.0,0,0.0223872984,1.10722666666667,1,5.89852655144871,37.9049898937205,-0.0651406621848248,0,-0.933641975308642,3.50060653165917,67.828270193339,0,2.64365659533057,0,4.54129810939368,4.40671924726425,2.19307766856112,4.0,2.03819999843836,0.0,0.151846074,11,0.0,0,14.0,2.85403292340883,2,2.30151269388763,0.687016621819681,105.489981738627,2.63905732961526,67.828270193339,0,0,2.146170897442,3.66995144422842,0.504496528811539,0.445808951075581,0.0,16.6431063601179,2.95218711963026,84.6496899108048,2.02305606061273,6.66666666666667,1.8144072373751,4.06688771598906,0.5,0.8,156.57,0,39.148644061782,0.0,2.70805020110221,0.751419398338274,0,0.0,0.0,0.0,0.73674
C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.166108386666667,1.96013170420779,74.6,4,135.656540386678,24.0562962962963,0.309461217777779,1.0,0,3.04032767437357,74.6,1.05333333333333,85.3666863218424,1.53049305675748,3.01836900353351,135.656540386678,135.656540386678,0.29649058,2.89537037037037,4,2,135.656540386678,0.0,0,2,9.23,3.41772668361337,4,33.3333333333333,1.55555555555556,135.656540386678,3.13549421592915,2,50.2898540648355,2.70925946631289,0.0876135438635439,3.03106629329056,0.399513920000001,0,47.0844079863613,0.0,0,0.0373190533333334,1.11573333333333,2,6.41622153118604,37.9049898937205,0.670937461758644,0,-1.2287037037037,0.0,135.656540386678,0,2.7006412249632,0,4.79423975696855,4.5231463505095,0.738500684266094,5.33333333333333,1.08300004899502,0.0,0.306106951111111,16,0.0,0,17.0,3.27470924096697,24,1.38399465530655,0.735820696089906,150.607492960198,2.83321334405622,135.656540386678,0,0,1.16859823476719,3.9070104636046,0.910370099423195,0.380159041777287,0.0,21.6337632539679,3.20663512398869,46.0958887410067,2.44027857794887,0.0,1.76646644906227,4.39290475282106,1.62865056995694,1.22222222222222,166.14,0,0.0,0.0,3.13549421592915,0.763012657912082,0,0.0,0.0,0.0,0.672344444444444
C([C@@H](C(=O)O)N)C(=O)O,0.20182415578125,3.93111209131335,100.62,5,168.553727858743,20.9725925925926,0.54856236640625,3.0,0,2.60128301506586,100.62,1.0663625,118.263873793908,1.7717822215998,2.40163510000961,168.553727858743,168.553727858743,0.35203676015625,2.96074074074074,5,4,135.656540386678,32.8971874720655,14,3,8.32,2.70805020110221,4,43.75,1.11111111111111,168.553727858743,1.6094379124341,4,25.1449270324178,2.18028707085865,0.0432098765432099,2.71896125513152,0.5965027546875,0,35.313305989771,0.0,1,0.01551581640625,1.16134375,2,4.14313472639153,0.0,3.13763779429906,1,-1.29407407407407,23.5422039931806,135.656540386678,1,2.41304192096357,0,2.30258509299405,0.0,0.380008965769794,3.85185185185185,-1.12699999660254,0.0,0.1610437421875,8,0.0,0,10.0,2.86958891030056,24,-3.35556166214144,0.963334595155535,81.3882440987227,2.39789527279837,135.656540386678,0,0,-1.90922055291466,2.484906649788,0.0831000000000003,0.449235007189055,0.0,22.4909776629729,2.70481144494371,4.35428068500612,2.06016113743232,0.0,3.78672853179137,2.30258509299405,1.62865056995694,0.625,133.12,0,0.0,0.0,1.94591014905531,1.1855680401339,0,32.8971874720655,-0.532407407407407,-0.532407407407407,0.56924375
C(C(C(C(C(C=O)O)O)O)O)O,0.293987233125,4.4359877981887,118.22,6,238.561642837024,32.8656254724112,1.089067854375,3.59611546662432,0,3.27194164073099,118.22,1.052725,213.416715804606,1.5,3.06303589966903,238.561642837024,238.561642837024,0.474970680000001,3.12069444444444,6,5,238.561642837024,0.0,0,5,7.5075,2.77258872223978,6,50.0,2.22222222222222,238.561642837024,2.19722457733622,5,0.0,2.71969992940545,0.0453215228958936,3.01841989945242,1.208662171875,0,70.6266119795419,0.0,0,0.3624181875,1.15615,0,4.49980967033027,11.4241498549724,3.7572920547604,0,0.0,0.0,238.561642837024,0,2.71747829000022,0,2.39789527279837,1.94591014905531,2.18871823409761,5.66666666666667,-3.37879987806082,0.0,0.667052505,16,0.0408163265306122,0,12.0,3.10774286528192,65,-2.64190648210967,1.12342790007113,168.553745155187,2.70805020110221,238.561642837024,2,0,-2.90153545339016,2.94443897916644,1.52573616646819,1.06281212461643,0.0,36.6369329206478,2.9660918975265,11.4241498549724,2.56547903825119,0.0,3.18064841615301,2.70805020110221,3.6025841963386,0.963308978281823,180.18,0,0.0,0.0,2.56494935746154,1.20615410473533,0,0.0,-0.760115268329554,-0.760115268329554,0.553975
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,0.146559637755103,5.34941802342378,84.32,6,103.973085113363,26.7887666393718,0.550430734897961,1.0,2,3.46242850030651,84.32,1.03324285714286,60.6940938439515,1.72739667357448,3.32823353126427,125.108149690388,101.798401487647,0.451660621836735,2.19088907785336,6,2,103.973085113363,21.1350645770253,28,2,8.00857142857142,3.52636052461616,5,42.8571428571429,2.22222222222222,125.108149690388,3.80666248977032,2,25.1449270324178,3.05467417403572,0.0945579849587797,3.4580664447368,0.797722278367347,2,94.1688159727225,18.0107506830303,5,0.390149192653062,1.13965,3,6.69950034016168,39.9494331789605,0.573283706989,1,-0.524222411186696,47.5463010167261,107.097399007358,7,3.07012709281315,1,4.51085950651685,4.66343909411207,2.8217769887036,8.890625,-0.284599877893925,0.0,0.52153981734694,23,0.263673469387755,4,21.0,3.26640733227042,33,0.13887478711792,1.00567847488111,343.484876714015,3.2188758248682,103.973085113363,0,1,-0.220175030258669,3.91202300542815,2.09412263842957,0.810014434565742,8.82520426189009,25.8885955552369,3.15621603674062,48.9911667086251,2.91442501772373,0.0,2.13008136556499,4.24849524204936,0.474957125796498,0.312674553648695,224.24,0,0.0,0.0,3.66356164612965,0.519988356442606,0,21.1350645770253,-0.134835285966238,-0.134835285966238,0.629871428571429
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0.251152927346939,0.0,137.46,9,152.24074223492,41.9429780801209,0.577925916734694,0.0,3,3.48283299229957,137.46,1.10251428571429,0.0,1.93870849728683,3.50344885786164,169.250895657782,161.065946496811,0.602096221836735,2.91722222222222,6,0,152.24074223492,17.0101534228619,60,0,10.8166666666667,3.92197333628131,9,23.8095238095238,2.44444444444445,169.250895657782,3.71357206670431,0,0.0,3.42241188760543,0.0973321104857084,3.39874066473618,0.941829313469388,12,58.8555099829516,0.0,3,0.216757653061224,1.15078571428571,0,7.3010212796333,44.7878526316123,-0.428138448706896,1,0.0,38.498880940511,169.250895657782,8,3.05607769404442,0,5.43290289088046,5.80945544149607,3.24664436963237,9.125,3.28921998292208,0.0,0.824652330612244,25,0.0,0,25.0,3.64361587901302,78,2.35864914288966,0.86684353086755,306.633025085797,3.17805383034795,152.24074223492,0,1,2.54908970860391,4.35990882942026,1.3312,0.481787675649259,25.835357684752,34.0234581650709,3.64479748930059,39.2335168200655,2.97366470617345,0.0,2.31577445703442,4.87615106671646,3.11432734903879,1.47712142898352,227.15,0,152.24074223492,0.0,3.52636052461616,0.743241925629024,0,17.0101534228619,0.0,0.0,0.643119047619047
C(CC(=O)O)CO,0.107177971600001,1.88988157484231,57.53,3,110.51161335426,13.2647222222222,0.332601831600002,1.0,0,2.01815030772689,57.53,1.03442,85.3666863218424,1.45656476213095,1.80200853433359,110.51161335426,110.51161335426,0.236635205200001,2.51939814814815,3,2,110.51161335426,0.0,0,2,6.94133333333334,2.19722457733622,3,53.3333333333333,0.444444444444445,110.51161335426,1.09861228866811,2,0.0,1.64753433996894,0.0438311688311688,2.30516688829049,0.274381699200001,0,70.6266119795419,0.0,0,0.0085784644,1.1526,1,3.55534806148941,0.0,1.11757173282319,0,-0.852731481481481,49.6189397255613,110.51161335426,0,2.16622410541038,0,1.38629436111989,0.0,0.300296929507936,2.73469387755102,-0.156499952077866,0.0,0.0985365656000003,4,0.0,0,7.0,2.67494577299147,12,-0.249607753741542,1.26147325889209,46.4642283675366,1.94591014905531,110.51161335426,0,0,-0.246202568606469,1.79175946922806,0.0830999999999999,0.606705730872314,0.0,14.9059416755109,2.43588383412569,5.97893795130307,1.95919090362736,0.0,5.5974025974026,1.6094379124341,0.814325284978472,0.4,104.12,0,0.0,0.0,1.38629436111989,1.10779999974342,0,0.0,0.387037037037037,-0.0354166666666667,0.560606666666667
C1=CC(=CN=C1)C(=O)O,0.0798650000000002,2.0,50.19,3,84.6137997414692,12.2616666666667,0.15020392,0.0,0,2.54373250106078,50.19,1.0374,42.6833431609212,1.72739667357448,2.17979531750734,84.6137997414692,67.828270193339,0.17175877,2.60824074074074,3,1,67.828270193339,16.7855295481303,8,1,8.79428571428572,3.11351530921037,3,35.7142857142857,0.888888888888889,84.6137997414692,2.56494935746154,1,25.1449270324178,1.42935316092493,0.0661122332547996,2.6780762463101,0.2656158,0,23.5422039931806,0.0,2,0.00913936,1.12482142857143,1,5.6901482833804,37.0473350992905,-0.0006539043355896,1,-0.941574074074074,18.0948401524302,84.6137997414692,2,2.43762617221807,0,4.34299340394467,3.84079549613978,0.27402588726991,2.93827160493827,0.77980000525713,0.0,0.0681436800000001,9,0.0,0,13.0,2.7658748737292,2,0.11898706290772,0.826584030328637,77.3952617465145,2.484906649788,67.828270193339,0,0,0.394195689388283,3.5481795720108,0.360644608352035,0.526654869936081,0.0,14.1744972583797,2.62431084688239,41.1427845229336,2.01922353197582,0.0,1.3392499796467,3.9440060512812,0.5,0.285714285714286,123.12,0,0.0,0.0,2.56494935746154,0.779037203693983,0,16.7855295481303,0.0,0.0,0.674107142857143
