SMILES,cluster,odour
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,8,False
C1N2CN3CN1CN(C2)C3,6,False
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,8,False
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,6,False
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,9,False
C(COCCO)O,4,False
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,6,False
C(=C(F)F)(C(F)(F)F)F,0,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,9,False
C,0,False
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],9,False
CC(=O)NC1=CC=CC=C1,4,False
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,3,False
C1=CC2=CC3=C(C(=CC=C3)O)C(=C2C(=C1)O)O,9,False
COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N,9,False
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,9,False
CCOC(=O)C1=CC=C(C=C1)N,6,False
CC(CO)OCC(C)OCC(C)O,1,False
CC1=CC(=O)NS(=O)(=O)O1,4,False
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,6,False
C(C1C(C(C(O1)(CO)O)O)O)O,6,False
CC(C)(C#N)C(C)(C)C#N,6,False
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,8,False
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,7,False
C1(=O)NC(=O)NC(=O)N1,4,False
C(C(CO)O)O,4,False
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,2,False
CCOCCOCCOCCO,1,False
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,9,False
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,6,False
C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,1,False
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1,False
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,1,False
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,7,False
C1C(O1)CO,0,False
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,6,False
CN1C2=C(C(=O)N(C1=O)C)NC=N2,6,False
O=C1C=C[C@]2([C@H](N1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)NC(C)(C)C)C)C,2,False
C1=CN=CC=C1N,4,False
N(=O)OS(=O)(=O)O,0,True
N(Cl)(Cl)Cl,0,True
FS(F)(F)F,0,True
N(=O)[N+](=O)[O-],0,True
N=[N+]=[N-],0,True
O=S=O,0,True
BrBr,0,True
OS(=O)(=O)F,0,True
O=[Si]=O,0,False
I,0,True
P(Br)(Br)Br,0,True
OP(=O)(O)O,0,False
OS(=O)O,0,True
O=S(Cl)Cl,0,True
O=P(Cl)(Cl)Cl,0,True
F,0,True
N(=O)Cl,0,True
O,0,False
O=S(=O)(Cl)Cl,0,True
OS(=O)(=O)Cl,0,True
O=O,0,False
OO,0,True
O=P(Br)(Br)Br,0,True
O=S(=O)(F)F,0,False
S(SCl)Cl,0,True
F[Si](F)(F)F,0,True
P(=S)(Cl)(Cl)Cl,0,True
O(F)F,0,True
NS(=O)(=O)O,0,False
NO,0,False
[N-]=[N+]=O,0,True
N(=O)[O],0,True
O=S(=O)(OS(=O)(=O)Cl)Cl,0,True
NN,0,True
[SiH4],0,True
II,0,True
[N+](=O)(O)[O-],0,True
P(Cl)(Cl)Cl,0,True
[N+](=O)([N+](=O)[O-])[O-],0,True
N#N,0,False
N(F)(F)F,0,True
[Si](Cl)(Cl)(Cl)Cl,0,True
S(Cl)Cl,0,True
C=CC1=CC=CC=C1,4,True
C1=CC=C(C=C1)C#N,4,True
C1=CC=C(C=C1)CO,4,True
C1=CC=C(C=C1)C=O,4,True
C1=CC=C(C=C1)CS,4,True
COC1=CC=CC=C1,4,True
CCCCCCCCCCCC(=O)OC1=CC=C(C=C1)C,7,True
CCCCCCOC(=O)CC(C)C,1,True
COC(CC1=CC=CC=C1)OC,6,True
C1=CC=C(C=C1)CC2=CC=CC=C2,6,True
C1=CC=C(C=C1)OC2=CC=CC=C2,6,True
C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,9,True
CC(=O)OCC(COC(=O)C)OC(=O)C,1,True
CCCCC(CC)COC(=O)C,1,True
C1=CC=C(C=C1)COCC2=CC=CC=C2,1,True
C1=CC=C(C=C1)CC(=O)O,4,True
CCC(C)C(=O)OC,4,True
CCC(C)C(=O)OCC,6,True
CC1=CC=C(C=C1)CC=O,6,True
CCCCC1CCC(=O)O1,6,True
CCCCCC1CCC(=O)O1,1,True
CCCCCCCC1CCC(=O)O1,1,True
CCCCC(CC)CO,1,True
CCC1=CN=C(C=C1)C,4,True
CC1=CC=C(C=C1)OC,4,True
CC1CCCCCCCCCCCCC(=O)C1,7,True
CCC(=O)OCC,4,True
CC(=O)CC(=O)OC,4,True
CCC(C)OC(=O)C,4,True
CCCC(=O)OCC,4,True
CCOC(C)OCC,6,True
CCCC(=O)OCCC,6,True
CC1=CC(=C(C=C1)O)C,4,True
CCC(=O)OCCC(C)C,6,True
C1CCCCCC(=O)OCCOC(=O)CCCCC1,7,True
NCl,0,True
CC(CCC=C(C)C)CCO,1,True
CC(CCC=C(C)C)CC=O,1,True
CC(=CCCC(=CC=O)C)C,1,True
